评论时间,评论者IP归属地,评论内容
2023年,来自广东,小孩就是机器人[二哈]
2023年,来自上海,前几天刚看了ai精准切平菇[二哈]
2023年,来自北京,回复@其他用户 :你觉得你们这种言论，特像反对人工智能，像不像古代别人说地球是圆的，就把人烧死得暴徒？
2023年,来自北京,回复@其他用户 :？？中国古代不是男的还当不了官，那时候大部分职业还都是农民，那你现在在干嘛？有工作么？是农民么？各个时代都有各个时代需要的韭菜，谁也看不到未来，不知道科技会发展成什么样。十年前，只有2g，付款要现金，你现在还不是适应了移动支付？咱不懂人工智能，当不了科学家，职业只有科学家一种是吧？
2023年,来自广西,回复@其他用户 :不工作为什么发钱给你呀，未来ai当道，还能自我迭代，你所谓的有意义的事情是所有人都去研究科技创造吧？
2023年,来自北京,对呀，所以更不用焦虑了，当社会重复性无意义的工作能被人工智能取代，我们就可以干更有意义的事儿，挺好的呀
2023年,来自陕西,回复@其他用户 :没有那么神，我让他写的一个简单的程序还得我改一下才能正常执行
2023年,来自江苏,AI的编程比人码的好
2023年,来自四川,被人“投毒”了可能[允悲]
2023年,来自上海,可能是告诉他3+4＝8的人太多了[doge]
2023年,来自广东,反思，再做[笑cry]
2023年,来自北京,我反而觉得工具人更没必要焦虑，现在没房没车，未来只会比现在更好，如果未来大部分群体（因为大部分都是工具人）都比现在活的更差，那国家就不会存在了，早开始革命动荡了
2023年,来自北京,回复@其他用户 :？？？？？有智慧？怕是五百年，不，一千年后，都达不到这种科技，那时候你又不在了，你怕什么
2023年,来自北京,回复@其他用户 :不过也没关系，真到打破禁忌的时候，那些老板、政客、科学家等等也会失业，因为人工智能会以一种生命体形态取代人类[摊手]
2023年,来自北京,回复@其他用户 :人工智能是人类创造，人类有法律，人工智能如果和人一样拥有智慧，你觉得三大准则能束缚住它么？人类突破禁忌是本能！人工智能并非单纯的工具！
2023年,来自北京,回复@其他用户 :我们已经开过座谈会了，座谈会得内容，就是关于人工智能技术发展发展不必焦虑。即使不开座谈会，我也不会焦虑，我一个没车没房的人，未来我过得只会比这好，不会比这差，而且我一直在攒钱，想买个智能人，可以做饭可以打扫卫生，如果它不开发出来，我买的机会都没有。
2023年,来自北京,你还是焦虑吧，这次行业内人都焦虑！这玩意儿不光是工具[挖鼻]
2023年,来自北京,因为电脑只是一种工具，AI是人工智能或者说是一种有智慧的“工具”
2023年,来自河南,因为你用过电脑就知道电脑没你聪明
2023年,来自北京,我觉得能被ai代替，对人类都是好事儿，人类进步，不就是靠自己“懒”才进步的么
2023年,来自内蒙古,回复@其他用户 :吹吧，快又能怎样，你工作一天作完和三天做完，本质上没有太大差别，除非你一天做完一百天的，才有质的差别
2023年,来自广东,但是，速度快了，意味着不需要那么多人在同一岗位了，那同岗位的竞争压力会变得超强
2023年,来自中国,是的说的太对了
2023年,来自辽宁,就是大势所趋吧！
2023年,来自北京,为生活带来了很多方便
2023年,来自北京,未来的发展趋势
2023年,来自辽宁,未来的趋势。
2023年,来自黑龙江,人工智能改变未来生活
2023年,来自黑龙江,ai是未来的趋势
2023年,来自山西,现在的小学生也太卷了
2023年,来自山西,科技引领未来
2023年,来自北京,少年强则国强
2023年,来自广东,小朋友们也太棒啦
2023年,来自中国,是呢孩子们的心思太重了
2023年,来自广东,为祖国未来充满信心
2023年,来自北京,非常不错的选择
2023年,来自浙江,不玩债券，不评论哈
2023年,来自山西,确实相当优秀
2023年,来自山西,少年强则中国强
2023年,来自北京,实力不容小觑呀
2023年,来自北京,简直是太厉害了
2023年,来自广东,祖国未来靠他们啦
2023年,来自中国,是的希望这样
2023年,来自陕西,真的很优秀[送花花]
2023年,来自广东,希望人工智能会在以后发展更好
2023年,来自中国,必须接受
2023年,来自辽宁,是社会的进步。
2023年,来自北京,应该是大势所趋
2023年,来自辽宁,就是一个趋势。
2023年,来自北京,为生活带来很多便捷
2023年,来自黑龙江,人工智能改变未来生活[打call]
2023年,来自黑龙江,ai是未来的趋势[送花花]
2023年,来自北京,这样真的很好[打call][打call]
2023年,来自重庆,应该从娃娃抓起
2023年,来自山西,大家可以从小学起
2023年,来自陕西,希望未来继续加油[送花花]
2023年,来自重庆,多给孩子们普及
2023年,来自重庆,应该该从小抓起
2023年,来自北京,逐步成为未来的发展趋势
2023年,来自北京,发展真的很好[打call]
2023年,来自北京,高科技的运用太强了
2023年,来自北京,真的发展越来越好[打call]
2023年,来自陕西,科技改变一切[打call]
2023年,来自北京,对 发展越来越好
2023年,来自重庆,这就是科技的力量
2023年,来自重庆,好强大的科技
2023年,来自山西,这就是科技的魅力
2023年,来自北京,未来会更多的
2023年,来自北京,这项技术真是太厉害了
2023年,来自重庆,从小培养这种人才
2023年,来自陕西,从小抓起真不错[赞]
2023年,来自山西,从小学起更有利
2023年,来自重庆,太好了，走进了学校
2023年,来自重庆,让多接触未来会更好
2023年,来自北京,高科技太给力了
2023年,来自北京,未来会更好[打call][打call]
2023年,来自北京,发展得很好[打call]
2023年,来自北京,逐步实现社会的发展
2024年,来自日本,不用直接就顶到agent，前面的辅助编程工具也挺好
2024年,来自天津,这以后，程序员也可以省一批了
2024年,来自吉林,关注[心]
2024年,来自江苏,看AI的使用权掌握在谁的手里
2024年,来自广东,我现在用Ai处理一些文字性的东西，甚至是策划类的东西，真好用
2024年,来自北京,[赞][赞][赞]
2024年,来自辽宁,作为辅助工具必然是优秀的，如果是替代劳力，让劳力做评价，那有点残忍。
2024年,来自山东,仿生学[并不简单]
2024年,来自北京,哇塞，科研大佬们联手揭秘，CoT也有软肋，这洞察力简直要上天啦！数学小能手CoT，原来也有不擅长的领域，真是萌萌哒～
2024年,来自广东,是不是意味着O1也是只对数学、符号推理、编程任务有用？
2024年,来自四川,基努里维斯知道吗
2024年,来自贵州,带脑子的人吗？
2024年,来自福建,谢谢老师分享[打call]
2024年,来自上海,老师出的图都很牛！
2024年,来自北京,这是如何做的？
2024年,来自江苏,英伟达会不停修改cuda
2024年,来自北京,记得cuda有专利吧
2024年,来自北京,又有新花样了[送花花]
2024年,来自浙江,效率能行吗？
2024年,来自浙江,消息来源可靠吗
2024年,来自广东,好_(:з)∠)_有空研究一下
2024年,来自广东,也得看实际运行的效率
2024年,来自浙江,显卡是不是快降价了？[doge][doge]
2024年,来自北京,能省钱了？
2024年,来自安徽,用ai写报告贼好用
2024年,来自河北,没想到这个工具这么厉害 看来确实可以省不少时间
2024年,来自贵州,Söze登场，警察叔叔们可以轻松破案啦！✨
2024年,来自江苏,好厉害的AI工具，值得期待
2024年,来自北京,你好，你感兴趣的“AI”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #AI[超话]#
2024年,来自山西,Al思维[good][good][good]
2024年,来自北京,hi 请教个问题，现在咱们自然语言标注图片推荐用什么框架+模型？ 谢啦 如果是autodl上能直接用的镜像更好
2024年,来自广东,算不算是人工生成了海量工作流训练数据，再喂给大模型…其实还是换汤不换药…
2024年,来自日本,请教下，现在ai生成美术字很好用了吗？
2024年,来自湖北,hhhh太可爱了
2024年,来自辽宁,啊这…看来以后听歌要分清楚真假了
2024年,来自贵州,这都能被发现啊
2024年,来自云南,这哥胆子太大了
2024年,来自安徽,怎么知道哪个歌手是真正的原创呢
2024年,来自江西,这哥是艺术家的先锋派吧
2024年,来自贵州,真滴假滴？
2024年,来自云南,这也能造假
2024年,来自辽宁,真的是人工智能的天下
2024年,来自辽宁,这是时代的发展趋势，无法避免
2024年,来自广东,难怪朋友去学AI了
2024年,来自辽宁,担心失业，还不如趁早学AI
2024年,来自广东,感觉越来越多的大学生或者青年人会因为ai而就业困难[笑cry]
2024年,来自重庆,这个功能我手机早有了
2024年,来自北京,【你会为AI服务付费吗？】#OpenAI曾考虑定价每月两千美元天价订阅制#
2024年,来自上海,AI取代人类么
2024年,来自浙江,又要很多外语老师，翻译失业了，苦读寒窗十几年。白读了
2024年,来自广东,现在什么行业都在转型中，未来有更多的可能性值得期待[嘻嘻]
2024年,来自辽宁,我感觉这是非常有必要的，否则以后会越来越落后
2024年,来自江苏,英特尔这一波操作能救回AI市场份额吗？🤔
2024年,来自广东,芯片巨头也遇危机，衷心希望英特尔能渡过难关！
2024年,来自贵州,希望不要只是听听就行了，还是要有点实际行动的
2024年,来自山东,想知道这个AI适合做短视频脚本创作不
2024年,来自江西,这样的数字确实是很惊人呀，居然有这么多人喜欢
2024年,来自云南,哇塞！这都有3.5亿的下载人次了啊
2024年,来自云南,听说llama适合做聊天机器人
2024年,来自江苏,哇！我们公司也在用这个AI助手
2024年,来自江苏,哇！这跟我平时用的GPT有啥区别啊
2024年,来自天津,这玩意儿能用来做表情包么
2024年,来自贵州,想把这个当聊天助手
2024年,来自山东,听说最近AI技术进步很大
2024年,来自江苏,感觉未来会有越来越多的工作会被ai取代
2024年,来自贵州,感觉AI现在越来越多了啊[憧憬]
2024年,来自云南,请问llama适合做语音助手嘛
2024年,来自辽宁,哈哈哈哈哈哈这个AI有点可爱
2024年,来自陕西,这个视频好好玩哈哈哈
2024年,来自安徽,真的很有意思啊[doge][doge][doge]
2024年,来自辽宁,这视频太魔性了
2024年,来自云南,这个视频让我想起了一部科幻电影《头号玩家》
2024年,来自云南,这个视频好好玩
2024年,来自山东,这也太会整活了[打call]
2024年,来自广东,这视频也太上头了
2024年,来自广东,这个视频好好玩！
2024年,来自山东,看到最后好搞笑，真的是笑翻了！[笑cry][笑cry][笑cry]
2024年,来自江苏,支持这个正能量行为！
